ID,Posted at,Screen name,Text
739193914473713664,2016-06-04 20:35:37 +0000,journalismfund,RT @YemisiOgunleye: Another good day at #EIJC16 time to read my brain!
739193857435389952,2016-06-04 20:35:23 +0000,journalismfund,"RT @podehaye: Slides for my ""Personal Data Wobbing"" tool #EIJC16 https://t.co/K5qHwS6y8d"
739193699381448704,2016-06-04 20:34:46 +0000,journalismfund,RT @KwintRum: Keep an eye on the @journalismfund feed and website for reports and interviews of #EIJC16! @csgallego https://t.co/dbsjtGs15n
739192743918997506,2016-06-04 20:30:58 +0000,YemisiOgunleye,Another good day at #EIJC16 time to read my brain!
739190446526713856,2016-06-04 20:21:50 +0000,Jul_Stein,RT @nrecherche: .@mcaruanagalizia & @cabralens at #EIJC16 about tools behind #PanamaPapers – Soon at #nr16: https://t.co/38NFB2hbFN https://t.co/iSKc36h3nu
739188509240643584,2016-06-04 20:14:08 +0000,iradche,"RT @DDJ_Tools: How to fuzzy search (find despite imperfect search queries, misspelled names, typos & low OCR quality): https://t.co/O9SZcn4aEH #ddj #EIJC16"
739184781091540993,2016-06-04 19:59:19 +0000,espinielli,RT @maartenzam: For those who missed my talk on interactive explainers @ #EIJC16: here are the slides/links https://t.co/1DRHuY8vrm https://t.co/WwWbrnpvp3
739183430324326400,2016-06-04 19:53:57 +0000,margosmit1,RT @vgbones: Next Data Harvest will be May 18-20 2017. #eijc16
739181296660938753,2016-06-04 19:45:29 +0000,ItseMeLeonie,RT @nrecherche: … another Lightning Talk at #EIJC16: @datentaeterin & @daten_drang present @journocode https://t.co/WbRjrHhQGP … https://t.co/xfNRsGj1sv
739181039432654848,2016-06-04 19:44:27 +0000,idesdebruyne,RT @meeussjes: @Defensie_BE onderaan transparantielijst over eigen bombardementen Syrië/Irak. #EIJC16 @airwars #burgerslachtoffers https://t.co/GfgWDe2Nx3
739180348962131968,2016-06-04 19:41:43 +0000,idesdebruyne,RT @vgbones: Next Data Harvest will be May 18-20 2017. #eijc16
739180147748786176,2016-06-04 19:40:55 +0000,idesdebruyne,RT @KwintRum: Keep an eye on the @journalismfund feed and website for reports and interviews of #EIJC16! @csgallego https://t.co/dbsjtGs15n
739179952692678656,2016-06-04 19:40:08 +0000,leymarta,"RT @PauGuisado: Qué bien pinta Onodo, la herramienta de visualización de relaciones que @civio está a punto de hacer pública #EIJC16 https://t.co/h3xlKxXfmA"
739177929343668224,2016-06-04 19:32:06 +0000,VerrassendG,"RT @MeetinMechelen: To all attendees at #EIJC16. Don't forget to visit our beautiful city #mechelen. 
""All work and not play..."" https://t.co/whjbhwJsUU"
739175471661907968,2016-06-04 19:22:20 +0000,bbbcccnnn,RT @DDJ_Tools: How to search & investigate bigdata leaks like #panamapapers by #opensource research tools: https://t.co/e8K6wnaS8y #EIJC16 #ddj #textmining
739171446346375168,2016-06-04 19:06:20 +0000,anwagnerdreas,"RT @DDJ_Tools: How to fuzzy search (find despite imperfect search queries, misspelled names, typos & low OCR quality): https://t.co/O9SZcn4aEH #ddj #EIJC16"
739170237942247425,2016-06-04 19:01:32 +0000,willemstaes,RT @airwars_: US-led Coalition says it's killed 41 civilians in 12700 airstrikes. We think true # of dead closer to 1300.  We explain why today at #EIJC16
739160264550014976,2016-06-04 18:21:54 +0000,greenspaceguy,RT @FrejaWedenborg: Mind-blowing keynote by @cabralens on lessons from @ICIJorg & #PanamaPapers at #EIJC16 - incl. Star Trek references! https://t.co/8dBAEkQGXN
739160192110211074,2016-06-04 18:21:37 +0000,greenspaceguy,"RT @cabralens: Like John Doe said, ""the revolution will be digitized"" Here's my presentation at #EIJC16 on @ICIJorg #PanamaPapers https://t.co/epX8hEhRHg"
739158407547125760,2016-06-04 18:14:31 +0000,EMeesterberends,"So many languages, but they're all talking data. #eijc16 #journalismfund #mechelen @ Thomas More https://t.co/l4Q5KxVTNn"
739154662662770689,2016-06-04 17:59:39 +0000,KwintRum,RT @meeussjes: @Defensie_BE onderaan transparantielijst over eigen bombardementen Syrië/Irak. #EIJC16 @airwars #burgerslachtoffers https://t.co/GfgWDe2Nx3
739153105141387265,2016-06-04 17:53:27 +0000,Egmont_R,RT @Annabellvdb: Lots of plugs at #CafeBelge #grotemarkt #Mechelen #bar #EIJC16
739152587006443520,2016-06-04 17:51:24 +0000,micahstubbs,RT @maartenzam: My lessons from ‘How to build a data desk’ #EIJC16 wth @helenabengtsson @chelm @garcirrey @alphoenix @DataKatrine https://t.co/5SaY7nvq0D
739150936078192642,2016-06-04 17:44:50 +0000,MsCPeterperson,RT @roryireland: At #EIJC16? Umbrella App has free physical and digital security lessons and checklists for journalists in the field https://t.co/4kDMrEXalK
739149610929659904,2016-06-04 17:39:34 +0000,geomblog,RT @stekhn: What algorithms should be watched? Submit to the list: https://t.co/hiyWWCy2GT via @algorithmwatch #datascience #EIJC16
739149334625832960,2016-06-04 17:38:28 +0000,Egmont_R,No veggie sandwiches though... #EIJC16 https://t.co/TvLjF87fLk
739148280140058624,2016-06-04 17:34:17 +0000,Annabellvdb,Lots of plugs at #CafeBelge #grotemarkt #Mechelen #bar #EIJC16
739148183998234624,2016-06-04 17:33:54 +0000,Netzblockierer,RT @neusvidal: Great session by @FrejaWedenborg about #Cryptoguide. Let us know when the Spanish edition gets published. Looking fwd to reading it #EIJC16
739146919990136832,2016-06-04 17:28:53 +0000,lopalasi,RT @algorithmwatch: Thx for coming to the session on algoritmic accountability at #EIJC16; stay in touch & please help to fill this list https://t.co/Dq7IxccP3q
739145930956476416,2016-06-04 17:24:57 +0000,greekemmy,RT @Remrow: Great session by @PerAJohansen and @AndreasBF on how they detected IMSI-catchers in Norway #EIJC16 https://t.co/cgn4h1XzjJ
739143016825430016,2016-06-04 17:13:22 +0000,1denmadrid,RT @journalismfund: .@airwars_ has been recording and monitoring the international air war and its tragic consequences. NOW in room C2.25! #EIJC16
